index,improvements_sentiment,improvements_en_complete_gscore
381,1,-1.18999997138977
382,0,-1.18999997138977
383,1,-1.18999997138977
384,1,0
385,0,0
386,1,0.240000004172325
387,1,0.390000019073487
388,1,0
389,1,0.560000010728837
390,1,-1.18999997138977
391,1,-0.560000010728837
392,1,-0.240000004172325
393,1,-0.240000004172325
394,0,-1.44000003099442
395,0,-1.18999997138977
396,1,-0.390000019073487
397,1,-0.560000010728837
398,1,-0.110000001788139
399,1,0
400,0,-0.960000052452088
401,0,0
402,1,0.390000019073487
403,0,0.390000019073487
404,0,-0.75
405,1,0
406,1,-0.110000001788139
407,1,0
408,0,-0.960000052452088
409,0,-1.44000003099442
410,0,0.560000010728837
411,0,-0.75
412,1,0.440000016093255
413,1,0
414,1,1.7099999332428
415,0,-1.44000003099442
416,0,0
417,0,0
418,0,1.44000003099442
419,0,-0.560000010728837
420,0,-1.18999997138977
421,0,0
422,0,-1.18999997138977
423,1,0
424,0,-1.44000003099442
425,0,-0.960000052452088
426,0,0.960000052452088
427,0,0
428,0,-1.44000003099442
429,0,-0.110000001788139
430,1,-0.560000010728837
431,1,0
432,0,0.390000019073487
433,0,0
434,0,-0.960000052452088
435,1,-0.110000001788139
436,0,-0.390000019073487
437,0,-1.44000003099442
438,0,0
439,0,0.240000004172325
440,0,0.110000001788139
441,0,-0.240000004172325
442,0,-0.560000010728837
443,0,0
444,0,-1.18999997138977
445,0,-1.44000003099442
446,0,0.960000052452088
447,0,-0.960000052452088
448,0,0
449,1,-1.44000003099442
450,1,0
451,0,0.390000019073487
452,1,0
453,1,0.75
454,0,-0.390000019073487
455,0,0.110000001788139
456,1,0
457,0,0
458,0,0
459,0,0
460,1,-0.240000004172325
461,0,-1.18999997138977
462,0,-1.44000003099442
463,0,0
464,0,-0.960000052452088
465,0,-1.18999997138977
466,0,-0.390000019073487
467,0,0.240000004172325
468,1,0
469,0,-0.390000019073487
470,1,-0.110000001788139
471,1,0
472,1,-1.18999997138977
473,0,-0.560000010728837
474,0,-0.560000010728837
475,1,0
476,0,-1.44000003099442
477,0,-1.18999997138977
478,0,0.240000004172325
479,0,-1.74999997019768
480,0,-1.18999997138977
481,1,0.390000019073487
482,0,-1.44000003099442
483,0,-0.560000010728837
484,1,0.240000004172325
485,1,-1.18999997138977
486,1,-0.110000001788139
487,0,-0.960000052452088
488,0,-1.44000003099442
489,1,-1.44000003099442
490,0,-1.18999997138977
491,1,0
492,1,-0.960000052452088
493,0,-1.44000003099442
494,1,-1.7099999332428
495,0,-0.240000004172325
496,1,0
497,0,0
498,1,0
499,0,0
500,0,-1.44000003099442
501,1,-1.18999997138977
502,1,-0.110000001788139
503,1,-0.390000019073487
504,1,0
505,0,-0.960000052452088
506,0,-0.110000001788139
507,1,-0.960000052452088
508,0,-0.240000004172325
509,0,0.660000000298021
510,0,-0.960000052452088
511,1,-0.240000004172325
512,0,-0.110000001788139
513,0,-1.44000003099442
514,0,-0.960000052452088
515,1,-0.240000004172325
516,0,-1.44000003099442
517,0,-0.110000001788139
518,0,-0.560000010728837
519,1,0
520,0,0
521,0,-1.18999997138977
522,0,-0.560000010728837
523,1,0
524,1,-0.560000010728837
525,0,-1.44000003099442
526,0,0.960000052452088
527,0,-0.390000019073487
528,0,1.7099999332428
529,0,0.110000001788139
530,1,0
531,0,0
532,1,-0.240000004172325
533,0,-1.44000003099442
534,0,-0.75
535,1,-1.18999997138977
536,1,-1.44000003099442
537,0,-0.560000010728837
538,0,-0.960000052452088
539,1,0
540,0,-1.44000003099442
541,0,-0.75
542,0,-1.18999997138977
543,1,-1.44000003099442
544,0,-0.960000052452088
545,0,-0.960000052452088
546,1,-1.44000003099442
547,0,0
548,1,-0.110000001788139
549,0,-0.560000010728837
550,0,-0.110000001788139
551,0,-1.44000003099442
552,1,-1.44000003099442
553,0,-1.44000003099442
554,0,-1.44000003099442
555,0,0
556,0,-1.44000003099442
557,1,-1.18999997138977
558,0,-0.110000001788139
559,0,-0.110000001788139
560,0,-1.44000003099442
561,1,0.110000001788139
562,1,0
563,1,0.110000001788139
564,0,0
565,1,0.390000019073487
566,0,0
567,1,-1.18999997138977
568,0,-1.44000003099442
569,0,-1.18999997138977
570,0,0.110000001788139
571,1,-0.110000001788139
572,1,0
573,0,-1.18999997138977
574,1,-1.44000003099442
575,1,-1.44000003099442
576,1,0
577,0,-0.75
578,1,0
579,1,-0.240000004172325
580,0,-0.5100000166893
581,0,-1.18999997138977
582,0,0
583,0,-0.390000019073487
584,0,1.44000003099442
585,0,-0.960000052452088
586,0,-1.44000003099442
587,0,0.110000001788139
588,0,-0.110000001788139
589,0,-1.44000003099442
590,1,0
591,1,-0.390000019073487
592,1,-1.7099999332428
593,0,-0.240000004172325
594,0,-1.18999997138977
595,0,0.110000001788139
596,0,-0.240000004172325
597,0,-1.18999997138977
598,0,-0.240000004172325
599,1,-0.110000001788139
600,0,-1.18999997138977
601,0,0.560000010728837
602,0,-0.75
603,1,-1.18999997138977
604,0,-0.560000010728837
605,0,-1.18999997138977
606,1,0
607,1,0
608,1,-1.18999997138977
609,1,0
610,0,-1.18999997138977
611,0,-2.16999989628792
612,1,0.390000019073487
613,1,-0.390000019073487
614,0,-0.960000052452088
615,1,0
616,0,-1.18999997138977
617,0,0
618,0,-0.75
619,1,-1.44000003099442
620,1,0.560000010728837
621,0,-0.240000004172325
622,0,0
623,0,0.560000010728837
624,1,0.390000019073487
625,0,-0.309999995082616
626,1,-0.110000001788139
627,1,-0.240000004172325
628,0,-1.44000003099442
629,0,-0.75
630,0,-1.44000003099442
631,0,-0.960000052452088
632,0,-1.18999997138977
633,1,0.240000004172325
634,0,-0.240000004172325
635,0,-0.240000004172325
636,0,-0.75
637,1,-1.44000003099442
638,0,-1.18999997138977
639,0,-0.560000010728837
640,1,-0.390000019073487
641,0,-0.390000019073487
642,1,-0.560000010728837
643,0,-0.560000010728837
644,0,0.75
645,1,0
646,0,0.75
647,1,0
648,1,-0.75
649,1,0
650,0,-0.960000052452088
651,0,-0.560000010728837
652,1,0
653,1,-0.960000052452088
654,1,1.44000003099442
655,1,-0.560000010728837
656,0,-1.18999997138977
